STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,FRGT,GAHT,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV03,WV20
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-02-21,,,,,,-348.0,,0.07,,0.3,0.0,,36,27,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,,1,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-02-22,,,,,,-335.8,,0.00,,0.0,0.0,,37,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-02-23,,,,,,-320.5,,0.00,,0.0,0.0,,42,21,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-02-24,,,,,,-305.9,,0.23,,1.6,0.0,,40,31,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-02-25,,,,,,-285.4,,0.48,,1.0,0.0,,41,29,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,1,,1,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-02-26,,,,,,-264.2,,0.00,,0.0,0.0,,31,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-02-27,,,,,,-279.5,,0.00,,0.0,0.0,,40,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-02-28,,,,,,-309.4,,0.18,,2.5,1.0,,37,22,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-02-29,,,,,,-355.1,,0.00,,0.0,0.0,,30,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-03-01,,,,,,-374.4,,0.00,,0.0,0.0,,31,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
